epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1670.76,1.58521,2.45355,1.68702,0.19019,0.17767,0.11036,0.02595,2.59899,3.42572,2.3471,0.000475183,0.000475183,0.000475183
2,3183.42,1.44112,1.54051,1.52173,0.15779,0.09659,0.08365,0.017,3.18555,3.42394,2.80979,0.000857316,0.000857316,0.000857316
3,4936.75,1.38979,1.2909,1.48353,0.00738,0.25853,0.00904,0.00195,2.98997,4.11634,2.55041,0.00114514,0.00114514,0.00114514
