epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3476.22,1.62387,2.4503,1.66705,0.0935,0.1072,0.04011,0.01267,2.66166,3.73168,2.45161,0.000475183,0.000475183,0.000475183
2,32875.4,1.46656,1.62882,1.51495,0.3079,0.21231,0.17907,0.04054,2.87314,2.99459,2.67232,0.000637516,0.000637516,0.000637516
3,34933.9,1.36389,1.36155,1.43975,0.32585,0.21585,0.1981,0.05267,2.59643,3.02967,2.19619,0.000485469,0.000485469,0.000485469
